Date,timestamp_bkk,ticker,type,close,volume,detail
2025-09-02,2025-09-02 14:35,CENTEL.BK,VOLATILITY_BREAK,29.25,0,TR 0.2500 > 2.0×ATR(20) 0.0875
2025-09-02,2025-09-02 14:35,TASCO.BK,VOLATILITY_BREAK,14.600000381469727,0,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:35,TOA.BK,VOLATILITY_BREAK,14.899999618530273,0,TR 0.1000 > 2.0×ATR(20) 0.0350
2025-09-02,2025-09-02 14:35,BCPG.BK,VOLATILITY_BREAK,8.600000381469727,0,TR 0.0500 > 2.0×ATR(20) 0.0175
2025-09-02,2025-09-02 14:35,SPALI.BK,VOLATILITY_BREAK,15.899999618530273,0,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:40,EA.BK,VOLATILITY_BREAK,2.5199999809265137,0,TR 0.0200 > 2.0×ATR(20) 0.0070
2025-09-02,2025-09-02 14:40,TASCO.BK,VOLATILITY_BREAK,14.5,400,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:40,CENTEL.BK,VOLATILITY_BREAK,29.25,0,TR 0.2500 > 2.0×ATR(20) 0.1000
2025-09-02,2025-09-02 14:45,EGCO.BK,VOLATILITY_BREAK,117.0,0,TR 0.5000 > 2.0×ATR(20) 0.2250
2025-09-02,2025-09-02 14:45,MBK.BK,VOLATILITY_BREAK,17.5,0,TR 0.1000 > 2.0×ATR(20) 0.0250
2025-09-02,2025-09-02 14:45,MINT.BK,VOLATILITY_BREAK,23.5,0,TR 0.1000 > 2.0×ATR(20) 0.0400
2025-09-02,2025-09-02 14:45,SPALI.BK,VOLATILITY_BREAK,15.800000190734863,0,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:45,BCPG.BK,VOLATILITY_BREAK,8.5,10000,TR 0.0500 > 2.0×ATR(20) 0.0200
2025-09-02,2025-09-02 14:45,JTS.BK,VOLATILITY_BREAK,30.5,700,TR 0.2500 > 2.0×ATR(20) 0.0625
2025-09-02,2025-09-02 14:45,ITC.BK,VOLATILITY_BREAK,15.100000381469727,58400,TR 0.1000 > 2.0×ATR(20) 0.0400
2025-09-02,2025-09-02 14:50,BTG.BK,VOLATILITY_BREAK,17.299999237060547,0,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:50,MBK.BK,VOLUME_SPIKE,17.399999618530273,195060,"Vol 195,060 > 3.0×avg(20) ~ 20,347"
2025-09-02,2025-09-02 14:50,MBK.BK,VOLATILITY_BREAK,17.399999618530273,195060,TR 0.2000 > 2.0×ATR(20) 0.0350
2025-09-02,2025-09-02 14:50,AAV.BK,VOLUME_SPIKE,1.25,401200,"Vol 401,200 > 3.0×avg(20) ~ 44,583"
2025-09-02,2025-09-02 14:50,AAV.BK,PRICE_VOLUME_DIVERGENCE,1.25,401200,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 14:40,AURA.BK,VOLUME_SPIKE,14.5,81300,"Vol 81,300 > 3.0×avg(20) ~ 14,346"
2025-09-02,2025-09-02 14:50,BCP.BK,VOLUME_SPIKE,33.5,289700,"Vol 289,700 > 3.0×avg(20) ~ 75,519"
2025-09-02,2025-09-02 14:50,BCP.BK,VOLATILITY_BREAK,33.5,289700,TR 0.5000 > 2.0×ATR(20) 0.1875
2025-09-02,2025-09-02 14:50,BTG.BK,VOLATILITY_BREAK,17.299999237060547,4200,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:50,CCET.BK,VOLUME_SPIKE,5.800000190734863,556307,"Vol 556,307 > 3.0×avg(20) ~ 174,066"
2025-09-02,2025-09-02 14:50,CCET.BK,PRICE_VOLUME_DIVERGENCE,5.800000190734863,556307,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 14:50,COM7.BK,VOLUME_SPIKE,25.25,192400,"Vol 192,400 > 3.0×avg(20) ~ 50,975"
2025-09-02,2025-09-02 14:50,GPSC.BK,VOLUME_SPIKE,41.25,311761,"Vol 311,761 > 3.0×avg(20) ~ 37,413"
2025-09-02,2025-09-02 14:50,GPSC.BK,VOLATILITY_BREAK,41.25,311761,TR 0.5000 > 2.0×ATR(20) 0.1875
2025-09-02,2025-09-02 14:50,JMT.BK,VOLUME_SPIKE,11.699999809265137,278200,"Vol 278,200 > 3.0×avg(20) ~ 63,211"
2025-09-02,2025-09-02 14:50,JTS.BK,VOLUME_SPIKE,30.5,24417,"Vol 24,417 > 3.0×avg(20) ~ 4,611"
2025-09-02,2025-09-02 14:50,JTS.BK,VOLATILITY_BREAK,30.5,24417,TR 0.2500 > 2.0×ATR(20) 0.0750
2025-09-02,2025-09-02 14:50,JTS.BK,PRICE_VOLUME_DIVERGENCE,30.5,24417,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 14:50,KBANK.BK,VOLUME_SPIKE,169.5,549300,"Vol 549,300 > 3.0×avg(20) ~ 58,765"
2025-09-02,2025-09-02 14:50,KTC.BK,VOLUME_SPIKE,27.25,1194911,"Vol 1,194,911 > 3.0×avg(20) ~ 138,487"
2025-09-02,2025-09-02 14:50,KTC.BK,PRICE_VOLUME_DIVERGENCE,27.25,1194911,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 14:50,LH.BK,VOLUME_SPIKE,4.039999961853027,651800,"Vol 651,800 > 3.0×avg(20) ~ 163,893"
2025-09-02,2025-09-02 14:50,MBK.BK,VOLUME_SPIKE,17.299999237060547,195060,"Vol 195,060 > 3.0×avg(20) ~ 20,347"
2025-09-02,2025-09-02 14:50,MBK.BK,VOLATILITY_BREAK,17.299999237060547,195060,TR 0.2000 > 2.0×ATR(20) 0.0350
2025-09-02,2025-09-02 14:50,STA.BK,VOLUME_SPIKE,11.699999809265137,1103428,"Vol 1,103,428 > 3.0×avg(20) ~ 83,349"
2025-09-02,2025-09-02 14:50,STA.BK,VOLATILITY_BREAK,11.699999809265137,1103428,TR 0.2000 > 2.0×ATR(20) 0.0800
2025-09-02,2025-09-02 14:50,STGT.BK,VOLUME_SPIKE,6.099999904632568,274900,"Vol 274,900 > 3.0×avg(20) ~ 79,173"
2025-09-02,2025-09-02 14:50,STGT.BK,PRICE_VOLUME_DIVERGENCE,6.099999904632568,274900,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 14:45,TASCO.BK,VOLATILITY_BREAK,14.600000381469727,1500,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:50,TIDLOR.BK,VOLUME_SPIKE,19.399999618530273,1365610,"Vol 1,365,610 > 3.0×avg(20) ~ 354,069"
2025-09-02,2025-09-02 14:50,TISCO.BK,VOLUME_SPIKE,102.0,86301,"Vol 86,301 > 3.0×avg(20) ~ 15,204"
2025-09-02,2025-09-02 14:50,TOA.BK,VOLATILITY_BREAK,14.800000190734863,84200,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:50,VGI.BK,VOLUME_SPIKE,2.0999999046325684,1258600,"Vol 1,258,600 > 3.0×avg(20) ~ 342,265"
2025-09-02,2025-09-02 14:50,VGI.BK,PRICE_VOLUME_DIVERGENCE,2.0999999046325684,1258600,|ret| 0.0000% < 0.15% + volume spike
